soc2d,soc2d_label,soc3d,soc3d_label,soc5d,soc5d_label,soc6d,soc6d_label,soc8d,soc8d_label
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3110,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,11-3111.00,Compensation and Benefits Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3120,Human Resources Managers,11-3121,Human Resources Managers,11-3121.00,Human Resources Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3130,Training and Development Managers,11-3131,Training and Development Managers,11-3131.00,Training and Development Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.01,Nursery and Greenhouse Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.02,Farm and Ranch Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.03,Aquacultural Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9020,Construction Managers,11-9021,Construction Managers,11-9021.00,Construction Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9031,"Education Administrators, Preschool and Childcare Center/Program",11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9032,"Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9033,"Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9039,"Education Administrators, All Other",11-9039.00,"Education Administrators, All Other"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9039,"Education Administrators, All Other",11-9039.01,Distance Learning Coordinators
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education Administrators,11-9039,"Education Administrators, All Other",11-9039.02,Fitness and Wellness Coordinators
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9040,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers,11-9041.00,Architectural and Engineering Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9040,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9050,Food Service Managers,11-9051,Food Service Managers,11-9051.00,Food Service Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9060,Funeral Service Managers,11-9061,Funeral Service Managers,11-9061.00,Funeral Service Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9070,Gaming Managers,11-9071,Gaming Managers,11-9071.00,Gaming Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9080,Lodging Managers,11-9081,Lodging Managers,11-9081.00,Lodging Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9110,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9120,Natural Sciences Managers,11-9121,Natural Sciences Managers,11-9121.00,Natural Sciences Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9120,Natural Sciences Managers,11-9121,Natural Sciences Managers,11-9121.01,Clinical Research Coordinators
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9120,Natural Sciences Managers,11-9121,Natural Sciences Managers,11-9121.02,Water Resource Specialists
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9130,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9140,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9150,Social and Community Service Managers,11-9151,Social and Community Service Managers,11-9151.00,Social and Community Service Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9160,Emergency Management Directors,11-9161,Emergency Management Directors,11-9161.00,Emergency Management Directors
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.00,"Managers, All Other"
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.01,Regulatory Affairs Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.02,Compliance Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.03,Investment Fund Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.04,Supply Chain Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.07,Security Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.08,Loss Prevention Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.09,Wind Energy Operations Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.10,Wind Energy Project Managers
11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,11-9199,"Managers, All Other",11-9199.11,Brownfield Redevelopment Specialists and Site Managers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,13-1021,"Buyers and Purchasing Agents, Farm Products",13-1021.00,"Buyers and Purchasing Agents, Farm Products"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.01,"Claims Examiners, Property and Casualty Insurance"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1032,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.00,Compliance Officers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.01,Environmental Compliance Inspectors
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.02,Licensing Examiners and Inspectors
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.03,Equal Opportunity Representatives and Officers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.04,Government Property Inspectors and Investigators
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.06,Coroners
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,13-1041,Compliance Officers,13-1041.07,Regulatory Affairs Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1050,Cost Estimators,13-1051,Cost Estimators,13-1051.00,Cost Estimators
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,13-1071,Human Resources Specialists,13-1071.00,Human Resources Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,13-1074,Farm Labor Contractors,13-1074.00,Farm Labor Contractors
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,13-1075,Labor Relations Specialists,13-1075.00,Labor Relations Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1080,Logisticians,13-1081,Logisticians,13-1081.00,Logisticians
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1080,Logisticians,13-1081,Logisticians,13-1081.01,Logistics Engineers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1080,Logisticians,13-1081,Logisticians,13-1081.02,Logistics Analysts
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1110,Management Analysts,13-1111,Management Analysts,13-1111.00,Management Analysts
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1120,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners",13-1121.00,"Meeting, Convention, and Event Planners"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1130,Fundraisers,13-1131,Fundraisers,13-1131.00,Fundraisers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1140,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1150,Training and Development Specialists,13-1151,Training and Development Specialists,13-1151.00,Training and Development Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1160,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists,13-1161.00,Market Research Analysts and Marketing Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other"
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.01,Energy Auditors
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.02,Security Management Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.03,Customs Brokers
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.04,Business Continuity Planners
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.05,Sustainability Specialists
13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,13-1199,"Business Operations Specialists, All Other",13-1199.06,Online Merchants
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2010,Accountants and Auditors,13-2011,Accountants and Auditors,13-2011.00,Accountants and Auditors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2010,Accountants and Auditors,13-2011,Accountants and Auditors,13-2011.01,Accountants
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2010,Accountants and Auditors,13-2011,Accountants and Auditors,13-2011.02,Auditors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2020,Appraisers and Assessors of Real Estate,13-2021,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2020,Appraisers and Assessors of Real Estate,13-2021,Appraisers and Assessors of Real Estate,13-2021.01,Assessors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2020,Appraisers and Assessors of Real Estate,13-2021,Appraisers and Assessors of Real Estate,13-2021.02,"Appraisers, Real Estate"
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2030,Budget Analysts,13-2031,Budget Analysts,13-2031.00,Budget Analysts
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2040,Credit Analysts,13-2041,Credit Analysts,13-2041.00,Credit Analysts
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,13-2051,Financial Analysts,13-2051.00,Financial Analysts
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,13-2052,Personal Financial Advisors,13-2052.00,Personal Financial Advisors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2050,Financial Analysts and Advisors,13-2053,Insurance Underwriters,13-2053.00,Insurance Underwriters
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2060,Financial Examiners,13-2061,Financial Examiners,13-2061.00,Financial Examiners
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2070,Credit Counselors and Loan Officers,13-2071,Credit Counselors,13-2071.00,Credit Counselors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2070,Credit Counselors and Loan Officers,13-2071,Credit Counselors,13-2071.01,Loan Counselors
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2070,Credit Counselors and Loan Officers,13-2072,Loan Officers,13-2072.00,Loan Officers
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2082,Tax Preparers,13-2082.00,Tax Preparers
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,13-2099,"Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other"
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,13-2099,"Financial Specialists, All Other",13-2099.01,Financial Quantitative Analysts
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,13-2099,"Financial Specialists, All Other",13-2099.02,Risk Management Specialists
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,13-2099,"Financial Specialists, All Other",13-2099.03,Investment Underwriters
13-0000,Business and Financial Operations Occupations,13-2000,Financial Specialists,13-2090,Miscellaneous Financial Specialists,13-2099,"Financial Specialists, All Other",13-2099.04,"Fraud Examiners, Investigators and Analysts"
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1110,Computer and Information Research Scientists,15-1111,Computer and Information Research Scientists,15-1111.00,Computer and Information Research Scientists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1120,Computer and Information Analysts,15-1121,Computer Systems Analysts,15-1121.00,Computer Systems Analysts
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1120,Computer and Information Analysts,15-1121,Computer Systems Analysts,15-1121.01,Informatics Nurse Specialists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1120,Computer and Information Analysts,15-1122,Information Security Analysts,15-1122.00,Information Security Analysts
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1130,Software Developers and Programmers,15-1131,Computer Programmers,15-1131.00,Computer Programmers
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1130,Software Developers and Programmers,15-1132,"Software Developers, Applications",15-1132.00,"Software Developers, Applications"
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1130,Software Developers and Programmers,15-1133,"Software Developers, Systems Software",15-1133.00,"Software Developers, Systems Software"
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1130,Software Developers and Programmers,15-1134,Web Developers,15-1134.00,Web Developers
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1140,Database and Systems Administrators and Network Architects,15-1141,Database Administrators,15-1141.00,Database Administrators
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1140,Database and Systems Administrators and Network Architects,15-1142,Network and Computer Systems Administrators,15-1142.00,Network and Computer Systems Administrators
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1140,Database and Systems Administrators and Network Architects,15-1143,Computer Network Architects,15-1143.00,Computer Network Architects
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1140,Database and Systems Administrators and Network Architects,15-1143,Computer Network Architects,15-1143.01,Telecommunications Engineering Specialists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1150,Computer Support Specialists,15-1151,Computer User Support Specialists,15-1151.00,Computer User Support Specialists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1150,Computer Support Specialists,15-1152,Computer Network Support Specialists,15-1152.00,Computer Network Support Specialists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.00,"Computer Occupations, All Other"
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.01,Software Quality Assurance Engineers and Testers
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.02,Computer Systems Engineers/Architects
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.03,Web Administrators
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.04,Geospatial Information Scientists and Technologists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.05,Geographic Information Systems Technicians
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.06,Database Architects
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.07,Data Warehousing Specialists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.08,Business Intelligence Analysts
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.09,Information Technology Project Managers
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.10,Search Marketing Strategists
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.11,Video Game Designers
15-0000,Computer and Mathematical Occupations,15-1100,Computer Occupations,15-1190,Miscellaneous Computer Occupations,15-1199,"Computer Occupations, All Other",15-1199.12,Document Management Specialists
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2010,Actuaries,15-2011,Actuaries,15-2011.00,Actuaries
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2020,Mathematicians,15-2021,Mathematicians,15-2021.00,Mathematicians
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2030,Operations Research Analysts,15-2031,Operations Research Analysts,15-2031.00,Operations Research Analysts
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2040,Statisticians,15-2041,Statisticians,15-2041.00,Statisticians
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2040,Statisticians,15-2041,Statisticians,15-2041.01,Biostatisticians
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2040,Statisticians,15-2041,Statisticians,15-2041.02,Clinical Data Managers
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2090,Miscellaneous Mathematical Science Occupations,15-2091,Mathematical Technicians,15-2091.00,Mathematical Technicians
15-0000,Computer and Mathematical Occupations,15-2000,Mathematical Science Occupations,15-2090,Miscellaneous Mathematical Science Occupations,15-2099,"Mathematical Science Occupations, All Other",15-2099.00,"Mathematical Science Occupations, All Other"
17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1010,"Architects, Except Naval",17-1011,"Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval"
17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1010,"Architects, Except Naval",17-1012,Landscape Architects,17-1012.00,Landscape Architects
17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists",17-1021,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists
17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists",17-1022,Surveyors,17-1022.00,Surveyors
17-0000,Architecture and Engineering Occupations,17-1000,"Architects, Surveyors, and Cartographers",17-1020,"Surveyors, Cartographers, and Photogrammetrists",17-1022,Surveyors,17-1022.01,Geodetic Surveyors
17-0000,Architecture and Engineering Occupations,17-2000,Engineers,17-2010,Aerospace Engineers,17-2011,Aerospace Engineers,17-2011.00,Aerospace Engineers
