naics4d,naics4d_label,tech40_id,tech40_label,tech40_labelshort,cosine4d,n_patent,xposure4d
1112,Vegetable and Melon Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1112,Vegetable and Melon Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,1,-0
1112,Vegetable and Melon Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1112,Vegetable and Melon Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.4200062732876588,1,0.40854599168229555
1112,Vegetable and Melon Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1112,Vegetable and Melon Farming,15,Food Ordering & Vending Systems,Food Ordering,0,1,-0
1112,Vegetable and Melon Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1112,Vegetable and Melon Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1112,Vegetable and Melon Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1112,Vegetable and Melon Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1112,Vegetable and Melon Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1112,Vegetable and Melon Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1112,Vegetable and Melon Farming,22,Gaming & Wagering Systems,Gaming,0,0,-0
1112,Vegetable and Melon Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1112,Vegetable and Melon Farming,24,E-Learning,E-Learning,0,0,-0
1112,Vegetable and Melon Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1112,Vegetable and Melon Farming,26,Voice Communication,Voice Communication,0,0,-0
1112,Vegetable and Melon Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1112,Vegetable and Melon Farming,28,Workflow Management,Workflow Management,4.164854352232752,14,2.1339390560277844
1112,Vegetable and Melon Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1112,Vegetable and Melon Farming,30,Information Processing,Information Processing,0,0,-0
1112,Vegetable and Melon Farming,31,Cloud Computing,Cloud Computing,1.3496786096948803,4,1.1083811267282233
1112,Vegetable and Melon Farming,32,Recommender Systems,Recommender Systems,0.32635563084603053,1,0.3208236259886841
1112,Vegetable and Melon Farming,33,Social Networking & Media Platforms,Social Networking,0,0,-0
1112,Vegetable and Melon Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1112,Vegetable and Melon Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
1112,Vegetable and Melon Farming,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
1112,Vegetable and Melon Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1112,Vegetable and Melon Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1112,Vegetable and Melon Farming,39,Medical Information,Medical Information,0,0,-0
1112,Vegetable and Melon Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1113,Fruit and Tree Nut Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1113,Fruit and Tree Nut Farming,2,3D Printing,3D Printing,0,0,-0
1113,Fruit and Tree Nut Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1113,Fruit and Tree Nut Farming,4,Smart Agriculture & Water Management,Smart Agriculture,23.075721096719338,64,3.832397373648845
1113,Fruit and Tree Nut Farming,5,Internet of Things (IoT),IoT,15.789847063240835,50,3.4535155486117555
1113,Fruit and Tree Nut Farming,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
1113,Fruit and Tree Nut Farming,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
1113,Fruit and Tree Nut Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
1113,Fruit and Tree Nut Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1113,Fruit and Tree Nut Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1113,Fruit and Tree Nut Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,1,-0
1113,Fruit and Tree Nut Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1113,Fruit and Tree Nut Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
1113,Fruit and Tree Nut Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1113,Fruit and Tree Nut Farming,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
1113,Fruit and Tree Nut Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1113,Fruit and Tree Nut Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1113,Fruit and Tree Nut Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1113,Fruit and Tree Nut Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1113,Fruit and Tree Nut Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1113,Fruit and Tree Nut Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1113,Fruit and Tree Nut Farming,22,Gaming & Wagering Systems,Gaming,0,0,-0
1113,Fruit and Tree Nut Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1113,Fruit and Tree Nut Farming,24,E-Learning,E-Learning,0,0,-0
1113,Fruit and Tree Nut Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1113,Fruit and Tree Nut Farming,26,Voice Communication,Voice Communication,0,0,-0
1113,Fruit and Tree Nut Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1113,Fruit and Tree Nut Farming,28,Workflow Management,Workflow Management,0.3833480413200629,1,0.3745303426753023
1113,Fruit and Tree Nut Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1113,Fruit and Tree Nut Farming,30,Information Processing,Information Processing,0,0,-0
1113,Fruit and Tree Nut Farming,31,Cloud Computing,Cloud Computing,0,0,-0
1113,Fruit and Tree Nut Farming,32,Recommender Systems,Recommender Systems,0.30473219358001685,1,0.3002027035954194
1113,Fruit and Tree Nut Farming,33,Social Networking & Media Platforms,Social Networking,0,0,-0
1113,Fruit and Tree Nut Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1113,Fruit and Tree Nut Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
1113,Fruit and Tree Nut Farming,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
1113,Fruit and Tree Nut Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1113,Fruit and Tree Nut Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1113,Fruit and Tree Nut Farming,39,Medical Information,Medical Information,0,0,-0
1113,Fruit and Tree Nut Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",2,3D Printing,3D Printing,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",4,Smart Agriculture & Water Management,Smart Agriculture,284.2510357396918,756,6.343008051043852
1114,"Greenhouse, Nursery and Floriculture Production",5,Internet of Things (IoT),IoT,90.06282613853931,260,5.193685495287085
1114,"Greenhouse, Nursery and Floriculture Production",6,Predictive Energy Management and Distribution,Energy Management,2.5736824884599234,14,1.6742538274894367
1114,"Greenhouse, Nursery and Floriculture Production",7,Industrial Automation & Robot Control,Industrial Automation,5.116011807454963,19,2.334939973706516
1114,"Greenhouse, Nursery and Floriculture Production",8,Remote Monitoring & Control Systems,Remote Monitoring,0.8061610984127595,5,0.7374720393026916
1114,"Greenhouse, Nursery and Floriculture Production",9,Smart Home & Intelligent Household Control,Smart Home,1.0732797704854935,5,0.9322528153429546
1114,"Greenhouse, Nursery and Floriculture Production",10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.39543077558754336,2,0.3857895667373231
1114,"Greenhouse, Nursery and Floriculture Production",12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",14,Passenger Transportation,Passenger Transportation,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",15,Food Ordering & Vending Systems,Food Ordering,0.3952659337406836,1,0.38563627026950004
1114,"Greenhouse, Nursery and Floriculture Production",16,Digital Advertising,Digital Advertising,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",17,Electronic Trading and Auctions,E-Trading,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",18,Online Shopping Platforms,Online Shopping,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",21,Mobile Payments,Mobile Payment,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",22,Gaming & Wagering Systems,Gaming,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",23,Digital Authentication,Digital Authentification,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",24,E-Learning,E-Learning,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",26,Voice Communication,Voice Communication,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",27,Electronic Messaging,Electronic Messaging,0.3753807663531117,1,0.36708110455626525
1114,"Greenhouse, Nursery and Floriculture Production",28,Workflow Management,Workflow Management,2.9368868030719226,17,1.7982970895713886
1114,"Greenhouse, Nursery and Floriculture Production",29,Cloud Storage & Data Security,Cloud Storage,0,2,-0
1114,"Greenhouse, Nursery and Floriculture Production",30,Information Processing,Information Processing,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",31,Cloud Computing,Cloud Computing,1.9671657039046144,5,1.428854360191548
1114,"Greenhouse, Nursery and Floriculture Production",32,Recommender Systems,Recommender Systems,0.3335744362320346,1,0.3276788722568415
1114,"Greenhouse, Nursery and Floriculture Production",33,Social Networking & Media Platforms,Social Networking,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",34,Digital Media Content,Digital Media Content,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
1114,"Greenhouse, Nursery and Floriculture Production",36,Machine Learning & Neural Networks,Machine Learning,0.8266702396900938,5,0.7533590149275902
1114,"Greenhouse, Nursery and Floriculture Production",37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",38,Health Monitoring,Health Monitoring,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",39,Medical Information,Medical Information,0,0,-0
1114,"Greenhouse, Nursery and Floriculture Production",40,E-Healthcare,E-Healthcare,0,0,-0
1119,Other Crop Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1119,Other Crop Farming,2,3D Printing,3D Printing,0,0,-0
1119,Other Crop Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1119,Other Crop Farming,4,Smart Agriculture & Water Management,Smart Agriculture,68.44281269415762,184,4.919199090109616
1119,Other Crop Farming,5,Internet of Things (IoT),IoT,35.37344259231445,101,4.25930824538365
1119,Other Crop Farming,6,Predictive Energy Management and Distribution,Energy Management,1.3779363131100346,10,1.1250905272244436
1119,Other Crop Farming,7,Industrial Automation & Robot Control,Industrial Automation,0,1,-0
1119,Other Crop Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
1119,Other Crop Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1119,Other Crop Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1119,Other Crop Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,1,-0
1119,Other Crop Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1119,Other Crop Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.4239063932541752,1,0.4121393167102846
1119,Other Crop Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1119,Other Crop Farming,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
1119,Other Crop Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1119,Other Crop Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1119,Other Crop Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1119,Other Crop Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1119,Other Crop Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1119,Other Crop Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1119,Other Crop Farming,22,Gaming & Wagering Systems,Gaming,0,0,-0
1119,Other Crop Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1119,Other Crop Farming,24,E-Learning,E-Learning,0,0,-0
1119,Other Crop Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1119,Other Crop Farming,26,Voice Communication,Voice Communication,0,0,-0
1119,Other Crop Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1119,Other Crop Farming,28,Workflow Management,Workflow Management,0.4803659891929384,8,0.4635820443462884
1119,Other Crop Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1119,Other Crop Farming,30,Information Processing,Information Processing,0,0,-0
1119,Other Crop Farming,31,Cloud Computing,Cloud Computing,0.9922202119338378,3,0.8758617328618606
1119,Other Crop Farming,32,Recommender Systems,Recommender Systems,0.3455965207169703,1,0.3390624491266336
1119,Other Crop Farming,33,Social Networking & Media Platforms,Social Networking,0,1,-0
1119,Other Crop Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1119,Other Crop Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
1119,Other Crop Farming,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
1119,Other Crop Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1119,Other Crop Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1119,Other Crop Farming,39,Medical Information,Medical Information,0,0,-0
1119,Other Crop Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1121,Cattle Ranching and Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1121,Cattle Ranching and Farming,2,3D Printing,3D Printing,0,0,-0
1121,Cattle Ranching and Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1121,Cattle Ranching and Farming,4,Smart Agriculture & Water Management,Smart Agriculture,1.0539836815349752,5,0.9190353675278626
1121,Cattle Ranching and Farming,5,Internet of Things (IoT),IoT,0.7969541756911604,3,0.7302880995961558
1121,Cattle Ranching and Farming,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
1121,Cattle Ranching and Farming,7,Industrial Automation & Robot Control,Industrial Automation,0.3626455903286579,1,0.3551334818331505
1121,Cattle Ranching and Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
1121,Cattle Ranching and Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1121,Cattle Ranching and Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1121,Cattle Ranching and Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
1121,Cattle Ranching and Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1121,Cattle Ranching and Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
1121,Cattle Ranching and Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1121,Cattle Ranching and Farming,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
1121,Cattle Ranching and Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1121,Cattle Ranching and Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1121,Cattle Ranching and Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1121,Cattle Ranching and Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1121,Cattle Ranching and Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1121,Cattle Ranching and Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1121,Cattle Ranching and Farming,22,Gaming & Wagering Systems,Gaming,0,0,-0
1121,Cattle Ranching and Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1121,Cattle Ranching and Farming,24,E-Learning,E-Learning,0,0,-0
1121,Cattle Ranching and Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1121,Cattle Ranching and Farming,26,Voice Communication,Voice Communication,0,0,-0
1121,Cattle Ranching and Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1121,Cattle Ranching and Farming,28,Workflow Management,Workflow Management,0,2,-0
1121,Cattle Ranching and Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1121,Cattle Ranching and Farming,30,Information Processing,Information Processing,0,0,-0
1121,Cattle Ranching and Farming,31,Cloud Computing,Cloud Computing,0,0,-0
1121,Cattle Ranching and Farming,32,Recommender Systems,Recommender Systems,0,0,-0
1121,Cattle Ranching and Farming,33,Social Networking & Media Platforms,Social Networking,0,0,-0
1121,Cattle Ranching and Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1121,Cattle Ranching and Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
1121,Cattle Ranching and Farming,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
1121,Cattle Ranching and Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1121,Cattle Ranching and Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1121,Cattle Ranching and Farming,39,Medical Information,Medical Information,0,0,-0
1121,Cattle Ranching and Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1122,Hog and Pig Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1122,Hog and Pig Farming,2,3D Printing,3D Printing,0,0,-0
1122,Hog and Pig Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1122,Hog and Pig Farming,4,Smart Agriculture & Water Management,Smart Agriculture,2.331766564231242,6,1.5828716509025995
1122,Hog and Pig Farming,5,Internet of Things (IoT),IoT,1.5292884985343456,7,1.210900512357221
1122,Hog and Pig Farming,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
1122,Hog and Pig Farming,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
1122,Hog and Pig Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
1122,Hog and Pig Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1122,Hog and Pig Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1122,Hog and Pig Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
1122,Hog and Pig Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1122,Hog and Pig Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
1122,Hog and Pig Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1122,Hog and Pig Farming,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
1122,Hog and Pig Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1122,Hog and Pig Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1122,Hog and Pig Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1122,Hog and Pig Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1122,Hog and Pig Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1122,Hog and Pig Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1122,Hog and Pig Farming,22,Gaming & Wagering Systems,Gaming,0,0,-0
1122,Hog and Pig Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1122,Hog and Pig Farming,24,E-Learning,E-Learning,0,0,-0
1122,Hog and Pig Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1122,Hog and Pig Farming,26,Voice Communication,Voice Communication,0,0,-0
1122,Hog and Pig Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1122,Hog and Pig Farming,28,Workflow Management,Workflow Management,0,2,-0
1122,Hog and Pig Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1122,Hog and Pig Farming,30,Information Processing,Information Processing,0,0,-0
1122,Hog and Pig Farming,31,Cloud Computing,Cloud Computing,0,0,-0
1122,Hog and Pig Farming,32,Recommender Systems,Recommender Systems,0,0,-0
1122,Hog and Pig Farming,33,Social Networking & Media Platforms,Social Networking,0,0,-0
1122,Hog and Pig Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1122,Hog and Pig Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
1122,Hog and Pig Farming,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
1122,Hog and Pig Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1122,Hog and Pig Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1122,Hog and Pig Farming,39,Medical Information,Medical Information,0,0,-0
1122,Hog and Pig Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1123,Poultry and Egg Production,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1123,Poultry and Egg Production,2,3D Printing,3D Printing,0,0,-0
1123,Poultry and Egg Production,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1123,Poultry and Egg Production,4,Smart Agriculture & Water Management,Smart Agriculture,3.891025116814633,15,2.0679376901408917
1123,Poultry and Egg Production,5,Internet of Things (IoT),IoT,6.405556961408431,24,2.5563510561874883
1123,Poultry and Egg Production,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
1123,Poultry and Egg Production,7,Industrial Automation & Robot Control,Industrial Automation,0.8988855631012027,3,0.8080383516850086
1123,Poultry and Egg Production,8,Remote Monitoring & Control Systems,Remote Monitoring,1.1761496340832658,3,1.0006144970499338
1123,Poultry and Egg Production,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1123,Poultry and Egg Production,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1123,Poultry and Egg Production,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.209329882808268,1,0.20783049338691184
1123,Poultry and Egg Production,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1123,Poultry and Egg Production,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
1123,Poultry and Egg Production,14,Passenger Transportation,Passenger Transportation,0,0,-0
1123,Poultry and Egg Production,15,Food Ordering & Vending Systems,Food Ordering,0.4860641909245683,2,0.46871264954482145
1123,Poultry and Egg Production,16,Digital Advertising,Digital Advertising,0,0,-0
1123,Poultry and Egg Production,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1123,Poultry and Egg Production,18,Online Shopping Platforms,Online Shopping,0,0,-0
1123,Poultry and Egg Production,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
