nace1d,nace1d_label,tech40_id,tech40_label,tech40_labelshort,cosine1d,n_patent,xposure1d
C,MANUFACTURING,34,Digital Media Content,Digital Media Content,7.039588452854079,4777,2.649703955324235
C,MANUFACTURING,35,Augmented and Virtual Reality (AR/VR),AR/VR,9.762494646812224,6749,2.9743080073912864
C,MANUFACTURING,36,Machine Learning & Neural Networks,Machine Learning,8.682134662598594,9102,2.857714782373495
C,MANUFACTURING,37,Medical Imaging & Image Processing,Medical Imaging,31.534813895627583,22241,4.144490621029773
C,MANUFACTURING,38,Health Monitoring,Health Monitoring,35.048301171071635,24803,4.250077781552914
C,MANUFACTURING,39,Medical Information,Medical Information,20.08088633296002,13330,3.6935350138443948
C,MANUFACTURING,40,E-Healthcare,E-Healthcare,13.56474724884616,9354,3.301977411390369
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",1,3D Printer Hardware,3D Printer Hardware,11.610634334599709,221,3.146917979512866
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",2,3D Printing,3D Printing,0.37877959775086323,12,0.3702613484838841
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",3,Additive Manufacturing,Additive Manufacturing,0.8108215130313577,23,0.7410961522713793
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",4,Smart Agriculture & Water Management,Smart Agriculture,27.964566847698816,666,4.0244049525824535
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,Internet of Things (IoT),IoT,17.82830010890872,484,3.574719881500897
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",6,Predictive Energy Management and Distribution,Energy Management,571.6548625659747,13101,7.041683367724144
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",7,Industrial Automation & Robot Control,Industrial Automation,13.65006441585513,293,3.30823047580614
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",8,Remote Monitoring & Control Systems,Remote Monitoring,29.26582086547621,641,4.069859254163999
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",9,Smart Home & Intelligent Household Control,Smart Home,26.28028294505278,631,3.9623279204230224
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",10,Intelligent Logistics,Intelligent Logistics,5.923405069612522,116,2.4791088771034024
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,3,-0
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",12,Parking & Vehicle Space Management,Parking Management,19.291249765319176,464,3.653469885679715
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,39.30120209095768,912,4.364564103069151
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",14,Passenger Transportation,Passenger Transportation,2.855278842513758,86,1.771660179211005
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",15,Food Ordering & Vending Systems,Food Ordering,0.9376355893938154,19,0.8365807830868234
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",16,Digital Advertising,Digital Advertising,0.19976374216923365,16,0.1984584352248774
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",17,Electronic Trading and Auctions,E-Trading,49.03023852940326,1229,4.585688379850247
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",18,Online Shopping Platforms,Online Shopping,1.34274416282454,40,1.1042460607718798
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",19,E-Coupons & Promotion Management,E-Coupons,0.6838646438993742,40,0.6393978745553246
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",20,Electronic Payments & Financial Transactions,E-Payment,11.574627274874365,366,3.1438234390275883
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",21,Mobile Payments,Mobile Payment,3.9078717297358145,143,2.072122534415011
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",22,Gaming & Wagering Systems,Gaming,0.18127749353136868,7,0.18029905184460926
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",23,Digital Authentication,Digital Authentification,0.634660268294953,31,0.5983177796326588
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",24,E-Learning,E-Learning,0.06770995198831967,3,0.06765832083849209
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",25,Location-Based Services & Tracking,Location-Based Services,0.5979123691346626,21,0.5670339458652194
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",26,Voice Communication,Voice Communication,3.337411703410363,120,1.920067725858864
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",27,Electronic Messaging,Electronic Messaging,3.763298659271336,106,2.035645528918745
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",28,Workflow Management,Workflow Management,1.6007624684841402,45,1.2493873661657084
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",29,Cloud Storage & Data Security,Cloud Storage,1.9534183970140115,72,1.422607341498761
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",30,Information Processing,Information Processing,3.20720668893345,85,1.8820109571841346
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",31,Cloud Computing,Cloud Computing,8.070456779229508,274,2.7851736936393676
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",32,Recommender Systems,Recommender Systems,0.1379832492081961,11,0.13754910611632803
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",33,Social Networking & Media Platforms,Social Networking,0.6879710101804635,24,0.6427841917322101
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",34,Digital Media Content,Digital Media Content,2.0180789587932755,76,1.451691519948488
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,Augmented and Virtual Reality (AR/VR),AR/VR,0.06227075483600561,1,0.06223058089776796
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",36,Machine Learning & Neural Networks,Machine Learning,2.4748330220279526,94,1.6378435914263652
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",38,Health Monitoring,Health Monitoring,0.14590934916327553,8,0.1453965233743475
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",39,Medical Information,Medical Information,0.042194640737612525,5,0.04218213028813084
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",40,E-Healthcare,E-Healthcare,0.07995207481284283,5,0.07986713884473165
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",1,3D Printer Hardware,3D Printer Hardware,4.626546080324677,145,2.23643787166913
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",2,3D Printing,3D Printing,6.143363975062577,148,2.5150788951368632
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",3,Additive Manufacturing,Additive Manufacturing,16.40790340877578,424,3.4918376346677906
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",4,Smart Agriculture & Water Management,Smart Agriculture,138.94469730151656,2994,5.62723612272228
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,Internet of Things (IoT),IoT,24.39251500237295,608,3.887843410778359
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",6,Predictive Energy Management and Distribution,Energy Management,9.265835938658206,274,2.9223804869743617
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",7,Industrial Automation & Robot Control,Industrial Automation,0.9098082579382979,38,0.8161396008472559
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",8,Remote Monitoring & Control Systems,Remote Monitoring,8.474519729096038,219,2.833674172346919
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",9,Smart Home & Intelligent Household Control,Smart Home,0.523448126824985,22,0.5020855199103604
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",10,Intelligent Logistics,Intelligent Logistics,18.464901370097987,396,3.609751322039151
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.5307555549459851,18,0.5085498968154871
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",12,Parking & Vehicle Space Management,Parking Management,10.345220366519019,372,3.031999584344189
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,3.5755569534550147,99,1.9862730314510197
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",14,Passenger Transportation,Passenger Transportation,1.0809289394584225,24,0.9374572339207803
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",15,Food Ordering & Vending Systems,Food Ordering,0.8530321123679413,30,0.7735459911361107
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",16,Digital Advertising,Digital Advertising,0.12793816689893223,6,0.12759169384862615
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",17,Electronic Trading and Auctions,E-Trading,0.1473140285291228,5,0.146786344952609
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",18,Online Shopping Platforms,Online Shopping,0.5101931170422194,18,0.49031019022120126
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",19,E-Coupons & Promotion Management,E-Coupons,0.15095792180555714,10,0.15039037718737694
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",20,Electronic Payments & Financial Transactions,E-Payment,0.25340113605544345,15,0.2507647229868306
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",21,Mobile Payments,Mobile Payment,0.04640856046162181,3,0.04639191781226366
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",22,Gaming & Wagering Systems,Gaming,0,0,-0
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",23,Digital Authentication,Digital Authentification,0.17524546199616398,9,0.17436064332782475
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",24,E-Learning,E-Learning,0.10895620816516924,4,0.10874177361834593
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",25,Location-Based Services & Tracking,Location-Based Services,0.24597039348093386,10,0.24355532393993046
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",26,Voice Communication,Voice Communication,0.5608335284897423,25,0.5349512033448572
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",27,Electronic Messaging,Electronic Messaging,0.49439955169454547,24,0.4761970295177523
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",28,Workflow Management,Workflow Management,13.971625562479755,308,3.3314539509483203
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",29,Cloud Storage & Data Security,Cloud Storage,8.213429576068918,307,2.802603192513422
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",30,Information Processing,Information Processing,3.696894359278281,113,2.018450049388472
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",31,Cloud Computing,Cloud Computing,1.5824097359188174,66,1.2396234979338663
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",32,Recommender Systems,Recommender Systems,0.5510120430132429,40,0.5263670266515167
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",33,Social Networking & Media Platforms,Social Networking,0.7638761892742472,35,0.7042111822354117
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",34,Digital Media Content,Digital Media Content,0.16756462013981213,9,0.16679022152490433
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",35,Augmented and Virtual Reality (AR/VR),AR/VR,0.38735283198349885,14,0.3782672740149155
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",36,Machine Learning & Neural Networks,Machine Learning,13.857687302761008,584,3.323286606910034
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",37,Medical Imaging & Image Processing,Medical Imaging,9.633854875973483,325,2.961113447642342
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",38,Health Monitoring,Health Monitoring,0.027431795248326802,4,0.02742835599300046
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",39,Medical Information,Medical Information,0.5555667635715291,25,0.5303523961125899
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",40,E-Healthcare,E-Healthcare,0.2287610698562272,10,0.22681140296994895
F,CONSTRUCTION,1,3D Printer Hardware,3D Printer Hardware,0.32025354447056,23,0.31501745300697864
F,CONSTRUCTION,2,3D Printing,3D Printing,0.2558599045458531,18,0.2531474596597753
F,CONSTRUCTION,3,Additive Manufacturing,Additive Manufacturing,1.4983720642233103,105,1.193859861617247
F,CONSTRUCTION,4,Smart Agriculture & Water Management,Smart Agriculture,57.20220552895196,3601,4.739816031358295
F,CONSTRUCTION,5,Internet of Things (IoT),IoT,19.120525296211127,1407,3.644592678861098
F,CONSTRUCTION,6,Predictive Energy Management and Distribution,Energy Management,169.59725937892878,11524,5.826582436003901
F,CONSTRUCTION,7,Industrial Automation & Robot Control,Industrial Automation,10.899174620023956,668,3.0839321500868033
F,CONSTRUCTION,8,Remote Monitoring & Control Systems,Remote Monitoring,61.49673625008083,3663,4.812197383543999
F,CONSTRUCTION,9,Smart Home & Intelligent Household Control,Smart Home,83.82562823488277,5411,5.1219215439828485
F,CONSTRUCTION,10,Intelligent Logistics,Intelligent Logistics,0.16560369347730047,16,0.16485594978275242
