soc5d,soc5d_label,tech40_id,tech40_label,tech40_labelshort,cosine5d,n_patent,xposure5d
11-1020,General and Operations Managers,31,Cloud Computing,Cloud Computing,0,0,-0
11-1020,General and Operations Managers,32,Recommender Systems,Recommender Systems,0,0,-0
11-1020,General and Operations Managers,33,Social Networking & Media Platforms,Social Networking,0,0,-0
11-1020,General and Operations Managers,34,Digital Media Content,Digital Media Content,0,0,-0
11-1020,General and Operations Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-1020,General and Operations Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-1020,General and Operations Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-1020,General and Operations Managers,38,Health Monitoring,Health Monitoring,0,0,-0
11-1020,General and Operations Managers,39,Medical Information,Medical Information,0,0,-0
11-1020,General and Operations Managers,40,E-Healthcare,E-Healthcare,0,0,-0
11-1030,Legislators,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-1030,Legislators,2,3D Printing,3D Printing,0,0,-0
11-1030,Legislators,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-1030,Legislators,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-1030,Legislators,5,Internet of Things (IoT),IoT,0,0,-0
11-1030,Legislators,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-1030,Legislators,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-1030,Legislators,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-1030,Legislators,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-1030,Legislators,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-1030,Legislators,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-1030,Legislators,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-1030,Legislators,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
11-1030,Legislators,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-1030,Legislators,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-1030,Legislators,16,Digital Advertising,Digital Advertising,0,0,-0
11-1030,Legislators,17,Electronic Trading and Auctions,E-Trading,0,0,-0
11-1030,Legislators,18,Online Shopping Platforms,Online Shopping,0,0,-0
11-1030,Legislators,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
11-1030,Legislators,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
11-1030,Legislators,21,Mobile Payments,Mobile Payment,0,0,-0
11-1030,Legislators,22,Gaming & Wagering Systems,Gaming,0,0,-0
11-1030,Legislators,23,Digital Authentication,Digital Authentification,0.6256641922282435,4,0.5907068355939494
11-1030,Legislators,24,E-Learning,E-Learning,0,0,-0
11-1030,Legislators,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-1030,Legislators,26,Voice Communication,Voice Communication,0,0,-0
11-1030,Legislators,27,Electronic Messaging,Electronic Messaging,0,2,-0
11-1030,Legislators,28,Workflow Management,Workflow Management,0.8970611531053391,3,0.8066809113079919
11-1030,Legislators,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-1030,Legislators,30,Information Processing,Information Processing,0,0,-0
11-1030,Legislators,31,Cloud Computing,Cloud Computing,0,0,-0
11-1030,Legislators,32,Recommender Systems,Recommender Systems,0,0,-0
11-1030,Legislators,33,Social Networking & Media Platforms,Social Networking,0,0,-0
11-1030,Legislators,34,Digital Media Content,Digital Media Content,0,0,-0
11-1030,Legislators,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-1030,Legislators,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-1030,Legislators,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-1030,Legislators,38,Health Monitoring,Health Monitoring,0,0,-0
11-1030,Legislators,39,Medical Information,Medical Information,0,0,-0
11-1030,Legislators,40,E-Healthcare,E-Healthcare,0,0,-0
11-2010,Advertising and Promotions Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-2010,Advertising and Promotions Managers,2,3D Printing,3D Printing,0,0,-0
11-2010,Advertising and Promotions Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-2010,Advertising and Promotions Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,1,-0
11-2010,Advertising and Promotions Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-2010,Advertising and Promotions Managers,6,Predictive Energy Management and Distribution,Energy Management,2.9162608326476462,18,1.7916278391894778
11-2010,Advertising and Promotions Managers,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-2010,Advertising and Promotions Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-2010,Advertising and Promotions Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-2010,Advertising and Promotions Managers,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-2010,Advertising and Promotions Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-2010,Advertising and Promotions Managers,12,Parking & Vehicle Space Management,Parking Management,0.41203602721327215,2,0.40118716534907306
11-2010,Advertising and Promotions Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.456019803413354,2,0.44153306021054106
11-2010,Advertising and Promotions Managers,14,Passenger Transportation,Passenger Transportation,0.6810933965043389,3,0.6371088984912048
11-2010,Advertising and Promotions Managers,15,Food Ordering & Vending Systems,Food Ordering,0.41807882464496493,4,0.4067683115770359
11-2010,Advertising and Promotions Managers,16,Digital Advertising,Digital Advertising,1182.6695589530168,5223,7.768676859618165
11-2010,Advertising and Promotions Managers,17,Electronic Trading and Auctions,E-Trading,6.43191817910907,42,2.560409026159674
11-2010,Advertising and Promotions Managers,18,Online Shopping Platforms,Online Shopping,30.955212513901632,145,4.125949379725792
11-2010,Advertising and Promotions Managers,19,E-Coupons & Promotion Management,E-Coupons,135.43408222250005,678,5.601645853799618
11-2010,Advertising and Promotions Managers,20,Electronic Payments & Financial Transactions,E-Payment,0.6051042005401482,4,0.5731967837759407
11-2010,Advertising and Promotions Managers,21,Mobile Payments,Mobile Payment,0.15300530711639598,2,0.15241451840658476
11-2010,Advertising and Promotions Managers,22,Gaming & Wagering Systems,Gaming,1.0483205484608114,6,0.9151320035602065
11-2010,Advertising and Promotions Managers,23,Digital Authentication,Digital Authentification,0,0,-0
11-2010,Advertising and Promotions Managers,24,E-Learning,E-Learning,0,0,-0
11-2010,Advertising and Promotions Managers,25,Location-Based Services & Tracking,Location-Based Services,3.2356489935424677,16,1.8904431734669158
11-2010,Advertising and Promotions Managers,26,Voice Communication,Voice Communication,2.2444272387322193,13,1.5478923007056857
11-2010,Advertising and Promotions Managers,27,Electronic Messaging,Electronic Messaging,3.5276043157649295,20,1.9732764404005139
11-2010,Advertising and Promotions Managers,28,Workflow Management,Workflow Management,1.102471241188488,6,0.9520082446665047
11-2010,Advertising and Promotions Managers,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-2010,Advertising and Promotions Managers,30,Information Processing,Information Processing,7.733101967925971,42,2.742811819150599
11-2010,Advertising and Promotions Managers,31,Cloud Computing,Cloud Computing,0,2,-0
11-2010,Advertising and Promotions Managers,32,Recommender Systems,Recommender Systems,6.31997779523242,34,2.5430639727224382
11-2010,Advertising and Promotions Managers,33,Social Networking & Media Platforms,Social Networking,30.94673447206493,170,4.125675604158906
11-2010,Advertising and Promotions Managers,34,Digital Media Content,Digital Media Content,7.671413712651248,42,2.7348693258865127
11-2010,Advertising and Promotions Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.34727860739808447,2,0.34065185805661946
11-2010,Advertising and Promotions Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-2010,Advertising and Promotions Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-2010,Advertising and Promotions Managers,38,Health Monitoring,Health Monitoring,0,0,-0
11-2010,Advertising and Promotions Managers,39,Medical Information,Medical Information,0,1,-0
11-2010,Advertising and Promotions Managers,40,E-Healthcare,E-Healthcare,0,0,-0
11-2020,Marketing and Sales Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-2020,Marketing and Sales Managers,2,3D Printing,3D Printing,0,0,-0
11-2020,Marketing and Sales Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-2020,Marketing and Sales Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-2020,Marketing and Sales Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-2020,Marketing and Sales Managers,6,Predictive Energy Management and Distribution,Energy Management,0,1,-0
11-2020,Marketing and Sales Managers,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-2020,Marketing and Sales Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-2020,Marketing and Sales Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-2020,Marketing and Sales Managers,10,Intelligent Logistics,Intelligent Logistics,0.24895429385515844,3,0.24645185291074967
11-2020,Marketing and Sales Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-2020,Marketing and Sales Managers,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-2020,Marketing and Sales Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
11-2020,Marketing and Sales Managers,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-2020,Marketing and Sales Managers,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-2020,Marketing and Sales Managers,16,Digital Advertising,Digital Advertising,55.033862688283875,295,4.701178394315257
11-2020,Marketing and Sales Managers,17,Electronic Trading and Auctions,E-Trading,3.9307643686944527,20,2.0777822065522225
11-2020,Marketing and Sales Managers,18,Online Shopping Platforms,Online Shopping,18.90841575995619,94,3.633452795112475
11-2020,Marketing and Sales Managers,19,E-Coupons & Promotion Management,E-Coupons,16.868645966500104,92,3.519481231960841
11-2020,Marketing and Sales Managers,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
11-2020,Marketing and Sales Managers,21,Mobile Payments,Mobile Payment,0,0,-0
11-2020,Marketing and Sales Managers,22,Gaming & Wagering Systems,Gaming,0,1,-0
11-2020,Marketing and Sales Managers,23,Digital Authentication,Digital Authentification,0,0,-0
11-2020,Marketing and Sales Managers,24,E-Learning,E-Learning,0,0,-0
11-2020,Marketing and Sales Managers,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-2020,Marketing and Sales Managers,26,Voice Communication,Voice Communication,0.6409068207657879,5,0.6035843647636204
11-2020,Marketing and Sales Managers,27,Electronic Messaging,Electronic Messaging,0.45402932097166915,3,0.439721318978237
11-2020,Marketing and Sales Managers,28,Workflow Management,Workflow Management,0.5017589046130858,6,0.4827844834870191
11-2020,Marketing and Sales Managers,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-2020,Marketing and Sales Managers,30,Information Processing,Information Processing,0.577279301878865,6,0.5492446838957901
11-2020,Marketing and Sales Managers,31,Cloud Computing,Cloud Computing,0,0,-0
11-2020,Marketing and Sales Managers,32,Recommender Systems,Recommender Systems,0.36978026251680474,4,0.36183303047221
11-2020,Marketing and Sales Managers,33,Social Networking & Media Platforms,Social Networking,1.0085250128559258,6,0.8873888523358539
11-2020,Marketing and Sales Managers,34,Digital Media Content,Digital Media Content,0.3843946264009393,5,0.3755074116116244
11-2020,Marketing and Sales Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-2020,Marketing and Sales Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-2020,Marketing and Sales Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-2020,Marketing and Sales Managers,38,Health Monitoring,Health Monitoring,0,0,-0
11-2020,Marketing and Sales Managers,39,Medical Information,Medical Information,0,0,-0
11-2020,Marketing and Sales Managers,40,E-Healthcare,E-Healthcare,0,0,-0
11-2030,Public Relations and Fundraising Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-2030,Public Relations and Fundraising Managers,2,3D Printing,3D Printing,0,0,-0
11-2030,Public Relations and Fundraising Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-2030,Public Relations and Fundraising Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-2030,Public Relations and Fundraising Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-2030,Public Relations and Fundraising Managers,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-2030,Public Relations and Fundraising Managers,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-2030,Public Relations and Fundraising Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-2030,Public Relations and Fundraising Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-2030,Public Relations and Fundraising Managers,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-2030,Public Relations and Fundraising Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-2030,Public Relations and Fundraising Managers,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-2030,Public Relations and Fundraising Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
11-2030,Public Relations and Fundraising Managers,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-2030,Public Relations and Fundraising Managers,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-2030,Public Relations and Fundraising Managers,16,Digital Advertising,Digital Advertising,24.564839739555055,71,3.8948773623321324
11-2030,Public Relations and Fundraising Managers,17,Electronic Trading and Auctions,E-Trading,0,0,-0
11-2030,Public Relations and Fundraising Managers,18,Online Shopping Platforms,Online Shopping,0,0,-0
11-2030,Public Relations and Fundraising Managers,19,E-Coupons & Promotion Management,E-Coupons,0.4918402001083236,2,0.4739015937882169
11-2030,Public Relations and Fundraising Managers,20,Electronic Payments & Financial Transactions,E-Payment,0,2,-0
11-2030,Public Relations and Fundraising Managers,21,Mobile Payments,Mobile Payment,0,0,-0
11-2030,Public Relations and Fundraising Managers,22,Gaming & Wagering Systems,Gaming,0.39211511261558546,2,0.38270447172609046
11-2030,Public Relations and Fundraising Managers,23,Digital Authentication,Digital Authentification,0,0,-0
11-2030,Public Relations and Fundraising Managers,24,E-Learning,E-Learning,0,0,-0
11-2030,Public Relations and Fundraising Managers,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-2030,Public Relations and Fundraising Managers,26,Voice Communication,Voice Communication,0,0,-0
11-2030,Public Relations and Fundraising Managers,27,Electronic Messaging,Electronic Messaging,0,0,-0
11-2030,Public Relations and Fundraising Managers,28,Workflow Management,Workflow Management,0,0,-0
11-2030,Public Relations and Fundraising Managers,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-2030,Public Relations and Fundraising Managers,30,Information Processing,Information Processing,0.35758285002407986,1,0.3503701895792904
11-2030,Public Relations and Fundraising Managers,31,Cloud Computing,Cloud Computing,0,0,-0
11-2030,Public Relations and Fundraising Managers,32,Recommender Systems,Recommender Systems,0,0,-0
11-2030,Public Relations and Fundraising Managers,33,Social Networking & Media Platforms,Social Networking,22.718701477298808,76,3.816819633228713
11-2030,Public Relations and Fundraising Managers,34,Digital Media Content,Digital Media Content,1.4572970431784253,6,1.1708400507739967
11-2030,Public Relations and Fundraising Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-2030,Public Relations and Fundraising Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-2030,Public Relations and Fundraising Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-2030,Public Relations and Fundraising Managers,38,Health Monitoring,Health Monitoring,0,0,-0
11-2030,Public Relations and Fundraising Managers,39,Medical Information,Medical Information,0,0,-0
11-2030,Public Relations and Fundraising Managers,40,E-Healthcare,E-Healthcare,0,0,-0
11-3010,Administrative Services Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-3010,Administrative Services Managers,2,3D Printing,3D Printing,0,0,-0
11-3010,Administrative Services Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-3010,Administrative Services Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-3010,Administrative Services Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-3010,Administrative Services Managers,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-3010,Administrative Services Managers,7,Industrial Automation & Robot Control,Industrial Automation,0.40717161226379867,1,0.3966857326092097
11-3010,Administrative Services Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,1,-0
11-3010,Administrative Services Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,1,-0
11-3010,Administrative Services Managers,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-3010,Administrative Services Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-3010,Administrative Services Managers,12,Parking & Vehicle Space Management,Parking Management,7.79414181189914,25,2.7506097264174953
11-3010,Administrative Services Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.3799014508237428,1,0.3713102678045189
11-3010,Administrative Services Managers,14,Passenger Transportation,Passenger Transportation,1.1849748361560615,5,1.006318605466177
11-3010,Administrative Services Managers,15,Food Ordering & Vending Systems,Food Ordering,0.35738404281244984,1,0.3501829846999579
11-3010,Administrative Services Managers,16,Digital Advertising,Digital Advertising,0,0,-0
11-3010,Administrative Services Managers,17,Electronic Trading and Auctions,E-Trading,0,0,-0
11-3010,Administrative Services Managers,18,Online Shopping Platforms,Online Shopping,0,0,-0
11-3010,Administrative Services Managers,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
11-3010,Administrative Services Managers,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
11-3010,Administrative Services Managers,21,Mobile Payments,Mobile Payment,0,0,-0
11-3010,Administrative Services Managers,22,Gaming & Wagering Systems,Gaming,0,0,-0
11-3010,Administrative Services Managers,23,Digital Authentication,Digital Authentification,0,0,-0
11-3010,Administrative Services Managers,24,E-Learning,E-Learning,0,0,-0
11-3010,Administrative Services Managers,25,Location-Based Services & Tracking,Location-Based Services,0,1,-0
11-3010,Administrative Services Managers,26,Voice Communication,Voice Communication,0,0,-0
11-3010,Administrative Services Managers,27,Electronic Messaging,Electronic Messaging,0,0,-0
11-3010,Administrative Services Managers,28,Workflow Management,Workflow Management,15.571736784188143,39,3.4396341333431115
11-3010,Administrative Services Managers,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-3010,Administrative Services Managers,30,Information Processing,Information Processing,0,0,-0
11-3010,Administrative Services Managers,31,Cloud Computing,Cloud Computing,15.895746800121664,48,3.460186706157244
11-3010,Administrative Services Managers,32,Recommender Systems,Recommender Systems,0,0,-0
11-3010,Administrative Services Managers,33,Social Networking & Media Platforms,Social Networking,0,0,-0
11-3010,Administrative Services Managers,34,Digital Media Content,Digital Media Content,0,0,-0
11-3010,Administrative Services Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
11-3010,Administrative Services Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-3010,Administrative Services Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-3010,Administrative Services Managers,38,Health Monitoring,Health Monitoring,0,0,-0
11-3010,Administrative Services Managers,39,Medical Information,Medical Information,0,0,-0
11-3010,Administrative Services Managers,40,E-Healthcare,E-Healthcare,0,0,-0
11-3020,Computer and Information Systems Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-3020,Computer and Information Systems Managers,2,3D Printing,3D Printing,0,0,-0
11-3020,Computer and Information Systems Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-3020,Computer and Information Systems Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-3020,Computer and Information Systems Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-3020,Computer and Information Systems Managers,6,Predictive Energy Management and Distribution,Energy Management,0.9106736204705166,2,0.8167795508241996
11-3020,Computer and Information Systems Managers,7,Industrial Automation & Robot Control,Industrial Automation,0.4567982532116273,1,0.4422412367980143
11-3020,Computer and Information Systems Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,9.071400402816364,23,2.901298105474012
11-3020,Computer and Information Systems Managers,9,Smart Home & Intelligent Household Control,Smart Home,5.5584975697034835,20,2.416469981316239
11-3020,Computer and Information Systems Managers,10,Intelligent Logistics,Intelligent Logistics,0.46577571887809566,1,0.45039318013880286
11-3020,Computer and Information Systems Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-3020,Computer and Information Systems Managers,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-3020,Computer and Information Systems Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.43821310804959585,2,0.42527734675752077
11-3020,Computer and Information Systems Managers,14,Passenger Transportation,Passenger Transportation,0.501382585363208,1,0.48244810492944473
11-3020,Computer and Information Systems Managers,15,Food Ordering & Vending Systems,Food Ordering,0.46885057785055856,2,0.45317887456249345
11-3020,Computer and Information Systems Managers,16,Digital Advertising,Digital Advertising,2.278407725107969,8,1.5616349894735497
11-3020,Computer and Information Systems Managers,17,Electronic Trading and Auctions,E-Trading,0.3302748653547073,1,0.32454730447541874
11-3020,Computer and Information Systems Managers,18,Online Shopping Platforms,Online Shopping,3.0981431020959445,9,1.8490334519569878
11-3020,Computer and Information Systems Managers,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
11-3020,Computer and Information Systems Managers,20,Electronic Payments & Financial Transactions,E-Payment,1.0740766404922415,4,0.9327959245508175
11-3020,Computer and Information Systems Managers,21,Mobile Payments,Mobile Payment,0,1,-0
11-3020,Computer and Information Systems Managers,22,Gaming & Wagering Systems,Gaming,1.6725393191494708,6,1.2868132089489057
11-3020,Computer and Information Systems Managers,23,Digital Authentication,Digital Authentification,10.047719327253708,28,3.0029600188644774
11-3020,Computer and Information Systems Managers,24,E-Learning,E-Learning,11.834466041511368,28,3.1659435633456283
11-3020,Computer and Information Systems Managers,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-3020,Computer and Information Systems Managers,26,Voice Communication,Voice Communication,27.725409763110044,66,4.015821559802182
11-3020,Computer and Information Systems Managers,27,Electronic Messaging,Electronic Messaging,8.176444048469435,22,2.798123199574795
11-3020,Computer and Information Systems Managers,28,Workflow Management,Workflow Management,86.89156454757226,200,5.157841247627486
11-3020,Computer and Information Systems Managers,29,Cloud Storage & Data Security,Cloud Storage,12.688069205860232,38,3.2353586144218216
11-3020,Computer and Information Systems Managers,30,Information Processing,Information Processing,47.640027105316904,120,4.5569306287308
11-3020,Computer and Information Systems Managers,31,Cloud Computing,Cloud Computing,136.25033183164356,397,5.607654516104209
11-3020,Computer and Information Systems Managers,32,Recommender Systems,Recommender Systems,6.984682000300017,20,2.641952142645486
11-3020,Computer and Information Systems Managers,33,Social Networking & Media Platforms,Social Networking,23.43984340421905,74,3.848039174403724
11-3020,Computer and Information Systems Managers,34,Digital Media Content,Digital Media Content,8.362927211154302,30,2.8205112422416367
11-3020,Computer and Information Systems Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.3358256686988887,3,0.32981370168715995
11-3020,Computer and Information Systems Managers,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-3020,Computer and Information Systems Managers,37,Medical Imaging & Image Processing,Medical Imaging,0,1,-0
11-3020,Computer and Information Systems Managers,38,Health Monitoring,Health Monitoring,1.0592076243280824,3,0.9226262422113696
11-3020,Computer and Information Systems Managers,39,Medical Information,Medical Information,0.4210583222369726,1,0.40951577756789215
11-3020,Computer and Information Systems Managers,40,E-Healthcare,E-Healthcare,12.638034117760409,31,3.2314196063764116
11-3030,Financial Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-3030,Financial Managers,2,3D Printing,3D Printing,0,0,-0
11-3030,Financial Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-3030,Financial Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-3030,Financial Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-3030,Financial Managers,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-3030,Financial Managers,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-3030,Financial Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-3030,Financial Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-3030,Financial Managers,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-3030,Financial Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-3030,Financial Managers,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-3030,Financial Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,1,-0
11-3030,Financial Managers,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-3030,Financial Managers,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-3030,Financial Managers,16,Digital Advertising,Digital Advertising,0,0,-0
