soc3d,soc3d_label,tech40_id,tech40_label,tech40_labelshort,cosine3d,n_patent,xposure3d
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",12,Parking & Vehicle Space Management,Parking Management,0.16481441088530885,2,0.16407722296366542
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.18240792136534162,2,0.18141124092308664
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",14,Passenger Transportation,Passenger Transportation,0.27243735860173557,3,0.2691750404005719
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",15,Food Ordering & Vending Systems,Food Ordering,0.16723152985798595,4,0.1664617023439511
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",16,Digital Advertising,Digital Advertising,499.9943366044312,5589,6.907744952148005
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",17,Electronic Trading and Auctions,E-Trading,4.145073019121409,62,2.1293103285753503
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",18,Online Shopping Platforms,Online Shopping,19.945451309543127,239,3.6867761251087736
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",19,E-Coupons & Promotion Management,E-Coupons,61.01945931562173,772,4.804407135669951
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",20,Electronic Payments & Financial Transactions,E-Payment,0.24204168021605932,6,0.23973859206759648
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21,Mobile Payments,Mobile Payment,0.06120212284655839,2,0.06116397964086127
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",22,Gaming & Wagering Systems,Gaming,0.49775124190744163,9,0.47919957061184393
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",23,Digital Authentication,Digital Authentification,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",24,E-Learning,E-Learning,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",25,Location-Based Services & Tracking,Location-Based Services,1.2942595974169873,16,1.0749462126231468
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",26,Voice Communication,Voice Communication,1.1541336237992028,18,0.9862757762673086
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27,Electronic Messaging,Electronic Messaging,1.5926534546946396,23,1.2450832271992893
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28,Workflow Management,Workflow Management,0.6416920583206296,12,0.6042453576414254
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30,Information Processing,Information Processing,3.39566907792675,49,1.9366565204176003
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31,Cloud Computing,Cloud Computing,0,2,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",32,Recommender Systems,Recommender Systems,2.6759032230996898,38,1.7106496925457175
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",33,Social Networking & Media Platforms,Social Networking,17.325844089428102,252,3.546178226989191
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",34,Digital Media Content,Digital Media Content,3.51378274425656,53,1.969500006063497
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",35,Augmented and Virtual Reality (AR/VR),AR/VR,0.1389114429592338,2,0.13846853005487716
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",38,Health Monitoring,Health Monitoring,0,0,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",39,Medical Information,Medical Information,0,1,-0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",40,E-Healthcare,E-Healthcare,0,0,-0
11-3000,Operations Specialties Managers,1,3D Printer Hardware,3D Printer Hardware,0.0233913016139967,4,0.023389169035594962
11-3000,Operations Specialties Managers,2,3D Printing,3D Printing,0.08150755420659068,4,0.08141757396319371
11-3000,Operations Specialties Managers,3,Additive Manufacturing,Additive Manufacturing,0.0949561985011118,8,0.09481407614140198
11-3000,Operations Specialties Managers,4,Smart Agriculture & Water Management,Smart Agriculture,38.080238196748844,1775,4.333015002427424
11-3000,Operations Specialties Managers,5,Internet of Things (IoT),IoT,11.562669431838497,621,3.14279363690787
11-3000,Operations Specialties Managers,6,Predictive Energy Management and Distribution,Energy Management,24.347798213275095,1258,3.886010053556696
11-3000,Operations Specialties Managers,7,Industrial Automation & Robot Control,Industrial Automation,5.507831002746341,247,2.4074590131604032
11-3000,Operations Specialties Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,21.163863373628136,905,3.7460000322094835
11-3000,Operations Specialties Managers,9,Smart Home & Intelligent Household Control,Smart Home,1.5848798906811183,89,1.2409423578994137
11-3000,Operations Specialties Managers,10,Intelligent Logistics,Intelligent Logistics,31.364584424751143,1175,4.139080588475043
11-3000,Operations Specialties Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.903826439063437,41,0.8117084009985188
11-3000,Operations Specialties Managers,12,Parking & Vehicle Space Management,Parking Management,2.7581269388485112,160,1.7390512927532744
11-3000,Operations Specialties Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,2.794445415896878,141,1.7513590470637102
11-3000,Operations Specialties Managers,14,Passenger Transportation,Passenger Transportation,2.9163608773343555,124,1.7916602896571903
11-3000,Operations Specialties Managers,15,Food Ordering & Vending Systems,Food Ordering,0.9058747060060077,44,0.8132271972726864
11-3000,Operations Specialties Managers,16,Digital Advertising,Digital Advertising,0.14811554593525575,9,0.14757925846819675
11-3000,Operations Specialties Managers,17,Electronic Trading and Auctions,E-Trading,2.95834339762645,137,1.8051905206578593
11-3000,Operations Specialties Managers,18,Online Shopping Platforms,Online Shopping,41.42465460917758,1748,4.417169061747316
11-3000,Operations Specialties Managers,19,E-Coupons & Promotion Management,E-Coupons,1.895185560619649,107,1.3957538299460321
11-3000,Operations Specialties Managers,20,Electronic Payments & Financial Transactions,E-Payment,5.731111091373548,273,2.4465825036840756
11-3000,Operations Specialties Managers,21,Mobile Payments,Mobile Payment,1.6911445318958065,90,1.296321819758339
11-3000,Operations Specialties Managers,22,Gaming & Wagering Systems,Gaming,0.24422949199826044,14,0.24186447011416579
11-3000,Operations Specialties Managers,23,Digital Authentication,Digital Authentification,0.63835032056108,39,0.6014307346959441
11-3000,Operations Specialties Managers,24,E-Learning,E-Learning,1.7642883441895985,77,1.332965029176265
11-3000,Operations Specialties Managers,25,Location-Based Services & Tracking,Location-Based Services,0.22710843865092706,13,0.2252000989812114
11-3000,Operations Specialties Managers,26,Voice Communication,Voice Communication,1.777264083114959,84,1.3393456249705282
11-3000,Operations Specialties Managers,27,Electronic Messaging,Electronic Messaging,0.5777411063621473,31,0.5496445906112695
11-3000,Operations Specialties Managers,28,Workflow Management,Workflow Management,14.68461591028976,613,3.3811049293567352
11-3000,Operations Specialties Managers,29,Cloud Storage & Data Security,Cloud Storage,2.721351339439962,126,1.726441804641305
11-3000,Operations Specialties Managers,30,Information Processing,Information Processing,3.081219392377706,160,1.8438221067060798
11-3000,Operations Specialties Managers,31,Cloud Computing,Cloud Computing,9.116731464095963,488,2.9062529353820614
11-3000,Operations Specialties Managers,32,Recommender Systems,Recommender Systems,1.2057358166704126,58,1.0196399417575517
11-3000,Operations Specialties Managers,33,Social Networking & Media Platforms,Social Networking,1.8521718642430536,104,1.3755005179247695
11-3000,Operations Specialties Managers,34,Digital Media Content,Digital Media Content,0.5777759954628642,38,0.5496748001166153
11-3000,Operations Specialties Managers,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.04117263225972359,6,0.04116100858192964
11-3000,Operations Specialties Managers,36,Machine Learning & Neural Networks,Machine Learning,0.18230279289783813,18,0.18130781797913778
11-3000,Operations Specialties Managers,37,Medical Imaging & Image Processing,Medical Imaging,0.05057896388836451,4,0.050557423226345315
11-3000,Operations Specialties Managers,38,Health Monitoring,Health Monitoring,0.10528063312975156,10,0.10508710822043048
11-3000,Operations Specialties Managers,39,Medical Information,Medical Information,0.1958618213578363,12,0.19463068759674215
11-3000,Operations Specialties Managers,40,E-Healthcare,E-Healthcare,0.76591080877698,36,0.7058272518773818
11-9000,Other Management Occupations,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-9000,Other Management Occupations,2,3D Printing,3D Printing,0.02235454459117304,3,0.022352683153130343
11-9000,Other Management Occupations,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-9000,Other Management Occupations,4,Smart Agriculture & Water Management,Smart Agriculture,43.50884088951087,3181,4.466243374852492
11-9000,Other Management Occupations,5,Internet of Things (IoT),IoT,7.781150648735518,708,2.748955135513299
11-9000,Other Management Occupations,6,Predictive Energy Management and Distribution,Energy Management,2.5928788169135943,196,1.6811837340652398
11-9000,Other Management Occupations,7,Industrial Automation & Robot Control,Industrial Automation,0.4897789598195616,45,0.4720512124205449
11-9000,Other Management Occupations,8,Remote Monitoring & Control Systems,Remote Monitoring,3.7004628737292435,271,2.0193814170490874
11-9000,Other Management Occupations,9,Smart Home & Intelligent Household Control,Smart Home,0.72171358637292,66,0.670364295971388
11-9000,Other Management Occupations,10,Intelligent Logistics,Intelligent Logistics,2.171144778799765,142,1.517654798591685
11-9000,Other Management Occupations,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.0783442624005379,10,0.07826433907903353
11-9000,Other Management Occupations,12,Parking & Vehicle Space Management,Parking Management,0.12418043134770529,12,0.12386346614909925
11-9000,Other Management Occupations,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.08047937367702489,9,0.08039274937762388
11-9000,Other Management Occupations,14,Passenger Transportation,Passenger Transportation,2.65513808237182,188,1.7033557904630083
11-9000,Other Management Occupations,15,Food Ordering & Vending Systems,Food Ordering,14.839755191493003,937,3.391590230346256
11-9000,Other Management Occupations,16,Digital Advertising,Digital Advertising,0.21036334761587877,24,0.208841928489008
11-9000,Other Management Occupations,17,Electronic Trading and Auctions,E-Trading,0.8759277456383221,77,0.7908667646706355
11-9000,Other Management Occupations,18,Online Shopping Platforms,Online Shopping,1.4562506603271346,92,1.170247860933913
11-9000,Other Management Occupations,19,E-Coupons & Promotion Management,E-Coupons,0.3679778943067014,44,0.360142042180386
11-9000,Other Management Occupations,20,Electronic Payments & Financial Transactions,E-Payment,0.6869462959536422,69,0.6419397679507226
11-9000,Other Management Occupations,21,Mobile Payments,Mobile Payment,0.563142772722118,52,0.5369643241755817
11-9000,Other Management Occupations,22,Gaming & Wagering Systems,Gaming,17.374318579336013,1351,3.548967505299193
11-9000,Other Management Occupations,23,Digital Authentication,Digital Authentification,5.675481913868711,490,2.4369751306251644
11-9000,Other Management Occupations,24,E-Learning,E-Learning,36.63198115939581,2626,4.294255092271642
11-9000,Other Management Occupations,25,Location-Based Services & Tracking,Location-Based Services,0.44900218651706136,42,0.4351395714562518
11-9000,Other Management Occupations,26,Voice Communication,Voice Communication,1.4875420100166339,127,1.187832841463516
11-9000,Other Management Occupations,27,Electronic Messaging,Electronic Messaging,1.438321046129023,126,1.1600556577856138
11-9000,Other Management Occupations,28,Workflow Management,Workflow Management,9.745875633920143,683,2.9726131079161537
11-9000,Other Management Occupations,29,Cloud Storage & Data Security,Cloud Storage,0.6754635554424742,62,0.6324497075409702
11-9000,Other Management Occupations,30,Information Processing,Information Processing,0.5569788085353283,67,0.5315863695578691
11-9000,Other Management Occupations,31,Cloud Computing,Cloud Computing,2.6400691605483266,238,1.6980313736792862
11-9000,Other Management Occupations,32,Recommender Systems,Recommender Systems,0.9406988354261494,84,0.8388136768586671
11-9000,Other Management Occupations,33,Social Networking & Media Platforms,Social Networking,2.2697380055171386,218,1.5581450871143672
11-9000,Other Management Occupations,34,Digital Media Content,Digital Media Content,0.9760781053710181,94,0.8643566918018954
11-9000,Other Management Occupations,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.49445644782505654,43,0.4762480321307251
11-9000,Other Management Occupations,36,Machine Learning & Neural Networks,Machine Learning,0.29444129967551624,30,0.2903447244332677
11-9000,Other Management Occupations,37,Medical Imaging & Image Processing,Medical Imaging,0.01492818919050234,1,0.014927634786199642
11-9000,Other Management Occupations,38,Health Monitoring,Health Monitoring,2.087317373960249,167,1.4820166888242017
11-9000,Other Management Occupations,39,Medical Information,Medical Information,2.405907850824343,178,1.611707782811018
11-9000,Other Management Occupations,40,E-Healthcare,E-Healthcare,4.241304372467868,307,2.151634596702013
13-1000,Business Operations Specialists,1,3D Printer Hardware,3D Printer Hardware,0,2,-0
13-1000,Business Operations Specialists,2,3D Printing,3D Printing,0.1528572668442872,11,0.15226817952930946
13-1000,Business Operations Specialists,3,Additive Manufacturing,Additive Manufacturing,0,1,-0
13-1000,Business Operations Specialists,4,Smart Agriculture & Water Management,Smart Agriculture,0.8586158101515726,74,0.7777882147836093
13-1000,Business Operations Specialists,5,Internet of Things (IoT),IoT,6.2113800766196015,521,2.525948028595464
13-1000,Business Operations Specialists,6,Predictive Energy Management and Distribution,Energy Management,39.33490275891035,2740,4.365420955666599
13-1000,Business Operations Specialists,7,Industrial Automation & Robot Control,Industrial Automation,0.24294634210815938,21,0.2406177737527861
13-1000,Business Operations Specialists,8,Remote Monitoring & Control Systems,Remote Monitoring,6.599431969267325,476,2.5858221552338567
13-1000,Business Operations Specialists,9,Smart Home & Intelligent Household Control,Smart Home,4.629879667528306,371,2.237141900752901
13-1000,Business Operations Specialists,10,Intelligent Logistics,Intelligent Logistics,54.743878945049545,3421,4.695896152228046
13-1000,Business Operations Specialists,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.34789840611530537,28,0.34123729909835693
13-1000,Business Operations Specialists,12,Parking & Vehicle Space Management,Parking Management,0.6245815965703622,61,0.5897888470244548
13-1000,Business Operations Specialists,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,4.942513319436139,370,2.301101503809352
13-1000,Business Operations Specialists,14,Passenger Transportation,Passenger Transportation,2.967832033757465,210,1.8082246711387695
13-1000,Business Operations Specialists,15,Food Ordering & Vending Systems,Food Ordering,6.152443157467879,418,2.516536531922365
13-1000,Business Operations Specialists,16,Digital Advertising,Digital Advertising,50.79690565332785,3988,4.621079493872097
13-1000,Business Operations Specialists,17,Electronic Trading and Auctions,E-Trading,30.54949713177479,2087,4.112763172782995
13-1000,Business Operations Specialists,18,Online Shopping Platforms,Online Shopping,101.90024999972306,6356,5.317165649586005
13-1000,Business Operations Specialists,19,E-Coupons & Promotion Management,E-Coupons,13.844783460584356,1055,3.3223574229937785
13-1000,Business Operations Specialists,20,Electronic Payments & Financial Transactions,E-Payment,109.78863590759072,7507,5.391724946311411
13-1000,Business Operations Specialists,21,Mobile Payments,Mobile Payment,75.09108839009947,5645,5.011893402777184
13-1000,Business Operations Specialists,22,Gaming & Wagering Systems,Gaming,4.507978906565816,367,2.211077115792982
13-1000,Business Operations Specialists,23,Digital Authentication,Digital Authentification,27.10397772746765,2228,3.9931678131012602
13-1000,Business Operations Specialists,24,E-Learning,E-Learning,1.5482139459548672,132,1.2212133462937285
13-1000,Business Operations Specialists,25,Location-Based Services & Tracking,Location-Based Services,3.3145476833375795,251,1.9134844543432867
13-1000,Business Operations Specialists,26,Voice Communication,Voice Communication,3.094194364151975,258,1.847819819832028
13-1000,Business Operations Specialists,27,Electronic Messaging,Electronic Messaging,2.825732109152948,215,1.7618484548773539
13-1000,Business Operations Specialists,28,Workflow Management,Workflow Management,13.284120834362346,904,3.2811302677171117
13-1000,Business Operations Specialists,29,Cloud Storage & Data Security,Cloud Storage,2.164560447380119,189,1.5148968239416423
13-1000,Business Operations Specialists,30,Information Processing,Information Processing,3.6205493357024423,295,1.9983211451642935
13-1000,Business Operations Specialists,31,Cloud Computing,Cloud Computing,4.230004889503048,382,2.1490382661766665
13-1000,Business Operations Specialists,32,Recommender Systems,Recommender Systems,8.575153081009985,641,2.845398639623343
13-1000,Business Operations Specialists,33,Social Networking & Media Platforms,Social Networking,4.746610921708517,399,2.261493952867525
13-1000,Business Operations Specialists,34,Digital Media Content,Digital Media Content,6.557382112811162,537,2.57950262966988
13-1000,Business Operations Specialists,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.8096709120967224,77,0.7402021695066764
13-1000,Business Operations Specialists,36,Machine Learning & Neural Networks,Machine Learning,0.1239823947999459,17,0.12366693672567407
13-1000,Business Operations Specialists,37,Medical Imaging & Image Processing,Medical Imaging,0.01658069808370942,4,0.01657993845134295
13-1000,Business Operations Specialists,38,Health Monitoring,Health Monitoring,0.07199307747956044,12,0.07193103202415957
13-1000,Business Operations Specialists,39,Medical Information,Medical Information,0.42147027048297425,40,0.40989541489771475
13-1000,Business Operations Specialists,40,E-Healthcare,E-Healthcare,0.20177820424072074,23,0.2004334841489231
13-2000,Financial Specialists,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
13-2000,Financial Specialists,2,3D Printing,3D Printing,0,0,-0
13-2000,Financial Specialists,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
13-2000,Financial Specialists,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
13-2000,Financial Specialists,5,Internet of Things (IoT),IoT,0.016795300027511763,1,0.016794510518800064
13-2000,Financial Specialists,6,Predictive Energy Management and Distribution,Energy Management,0.4536134232081111,29,0.43934259636108924
13-2000,Financial Specialists,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
13-2000,Financial Specialists,8,Remote Monitoring & Control Systems,Remote Monitoring,0.5090205610265823,24,0.48926546957668765
13-2000,Financial Specialists,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
13-2000,Financial Specialists,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
13-2000,Financial Specialists,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.041006527573502136,3,0.040995043940309894
13-2000,Financial Specialists,12,Parking & Vehicle Space Management,Parking Management,0,6,-0
13-2000,Financial Specialists,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,2.842240522235187,135,1.7673416726120288
13-2000,Financial Specialists,14,Passenger Transportation,Passenger Transportation,0.2076946693738032,13,0.206229708820015
13-2000,Financial Specialists,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
13-2000,Financial Specialists,16,Digital Advertising,Digital Advertising,0.2970176851739009,15,0.2928153386076413
13-2000,Financial Specialists,17,Electronic Trading and Auctions,E-Trading,5.438592312836244,289,2.3950143990459183
13-2000,Financial Specialists,18,Online Shopping Platforms,Online Shopping,0.15442175227419766,18,0.15381452049844221
13-2000,Financial Specialists,19,E-Coupons & Promotion Management,E-Coupons,0.5410313678721937,41,0.5176071342480447
13-2000,Financial Specialists,20,Electronic Payments & Financial Transactions,E-Payment,13.84534968903586,658,3.3223982142194948
13-2000,Financial Specialists,21,Mobile Payments,Mobile Payment,0.908253303569602,61,0.814988993339965
13-2000,Financial Specialists,22,Gaming & Wagering Systems,Gaming,0.11984491879026406,17,0.11955987244573495
13-2000,Financial Specialists,23,Digital Authentication,Digital Authentification,3.438028830856792,198,1.948554861248941
13-2000,Financial Specialists,24,E-Learning,E-Learning,0.017770315030825812,1,0.017769379899892336
13-2000,Financial Specialists,25,Location-Based Services & Tracking,Location-Based Services,0.1676953118054983,9,0.16691911479863725
13-2000,Financial Specialists,26,Voice Communication,Voice Communication,0.018789237922716823,3,0.018788132553765758
13-2000,Financial Specialists,27,Electronic Messaging,Electronic Messaging,0.05907711252554533,6,0.05904280216115213
13-2000,Financial Specialists,28,Workflow Management,Workflow Management,8.70751746355435,408,2.860614965737679
13-2000,Financial Specialists,29,Cloud Storage & Data Security,Cloud Storage,0.04041698759851099,3,0.04040599193299361
13-2000,Financial Specialists,30,Information Processing,Information Processing,1.3268227564152861,88,1.0946998295565131
13-2000,Financial Specialists,31,Cloud Computing,Cloud Computing,0.10779615237434614,6,0.10758847111519815
13-2000,Financial Specialists,32,Recommender Systems,Recommender Systems,1.4082963257802028,78,1.1427947452312226
13-2000,Financial Specialists,33,Social Networking & Media Platforms,Social Networking,0.1723856104347518,11,0.17154303843750662
13-2000,Financial Specialists,34,Digital Media Content,Digital Media Content,0.038640954445270395,3,0.038631344948586374
13-2000,Financial Specialists,35,Augmented and Virtual Reality (AR/VR),AR/VR,0.28420101603073944,16,0.28050790373384515
13-2000,Financial Specialists,36,Machine Learning & Neural Networks,Machine Learning,0.11148612388284708,8,0.1112564597165481
13-2000,Financial Specialists,37,Medical Imaging & Image Processing,Medical Imaging,0,2,-0
13-2000,Financial Specialists,38,Health Monitoring,Health Monitoring,0.018675319390224737,1,0.01867423400298431
13-2000,Financial Specialists,39,Medical Information,Medical Information,0.13217947680988087,6,0.1317975780671267
13-2000,Financial Specialists,40,E-Healthcare,E-Healthcare,0.044680580142671275,4,0.044665727104556484
15-1100,Computer Occupations,1,3D Printer Hardware,3D Printer Hardware,0.08338699107021028,6,0.08329065515551741
15-1100,Computer Occupations,2,3D Printing,3D Printing,0.49698639626374813,51,0.4785147526433738
15-1100,Computer Occupations,3,Additive Manufacturing,Additive Manufacturing,0.01634143276428658,2,0.016340705542367804
15-1100,Computer Occupations,4,Smart Agriculture & Water Management,Smart Agriculture,2.9400896449910747,223,1.7993289385636368
15-1100,Computer Occupations,5,Internet of Things (IoT),IoT,8.165479690770185,725,2.7967912684693776
15-1100,Computer Occupations,6,Predictive Energy Management and Distribution,Energy Management,2.5842223275763576,216,1.678064270145576
15-1100,Computer Occupations,7,Industrial Automation & Robot Control,Industrial Automation,9.765330783660897,708,2.9745969671778516
15-1100,Computer Occupations,8,Remote Monitoring & Control Systems,Remote Monitoring,31.664193627534516,2111,4.148582937684923
15-1100,Computer Occupations,9,Smart Home & Intelligent Household Control,Smart Home,16.50462759719201,1326,3.497704480512719
15-1100,Computer Occupations,10,Intelligent Logistics,Intelligent Logistics,4.540133307494898,290,2.2180170526571716
15-1100,Computer Occupations,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.49456508660965265,47,0.4763454144943989
15-1100,Computer Occupations,12,Parking & Vehicle Space Management,Parking Management,1.7168079771496922,156,1.3093112372498512
15-1100,Computer Occupations,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,4.7821593000741816,343,2.2687961447748553
15-1100,Computer Occupations,14,Passenger Transportation,Passenger Transportation,2.682386208345277,205,1.7129167185765741
15-1100,Computer Occupations,15,Food Ordering & Vending Systems,Food Ordering,1.2165001552882784,109,1.026493568539382
15-1100,Computer Occupations,16,Digital Advertising,Digital Advertising,77.67451826890692,5262,5.045715867845331
15-1100,Computer Occupations,17,Electronic Trading and Auctions,E-Trading,6.612372443718698,494,2.587759015275497
